jax_backend=gpu

### k=12 src=9  ceiling 2.973e-03  ROM 1.962e-01  obj0 4.3163e-02 -> 9.1232e-03 (red 2.11e-01)  obj@ceil 1.0176e-04  iters 60 acc 38 reason 0  |z0-zceil| 0.314 |zfin-zceil| 3.552
   it   lam       ||r||       ||r_new||   acc  ||dz||    ||z||   cond(J)   ||g||
     0 1.00e-06 4.4017e-02 1.2187e+01 .  1.178e+01 0.203 4.327e+02 1.019e-02
     1 1.00e-05 4.4017e-02 5.1950e+00 .  9.618e+00 0.203 4.327e+02 1.019e-02
     2 1.00e-04 4.4017e-02 3.0502e-01 .  3.827e+00 0.203 4.327e+02 1.019e-02
     3 1.00e-03 4.4017e-02 2.1220e-02 A  1.089e+00 0.203 4.327e+02 1.019e-02
     4 3.33e-04 2.1220e-02 7.1962e-02 .  2.098e+00 1.080 1.572e+02 2.657e-03
     5 3.33e-03 2.1220e-02 6.1043e-03 A  7.336e-01 1.080 1.572e+02 2.657e-03
     6 1.11e-03 6.1043e-03 2.0471e-03 A  3.212e-01 1.130 1.447e+02 1.072e-03
     7 3.70e-04 2.0471e-03 1.0618e-03 A  3.152e-01 0.950 1.791e+02 2.214e-04
     8 1.23e-04 1.0618e-03 7.7194e-04 A  2.990e-01 0.690 2.663e+02 5.713e-05
     9 4.12e-05 7.7194e-04 3.8426e-04 A  1.811e-01 0.453 4.075e+02 1.469e-04
    10 1.37e-05 3.8426e-04 1.5309e-04 A  8.895e-02 0.361 4.208e+02 7.262e-05
    11 4.57e-06 1.5309e-04 1.3622e-04 A  7.616e-02 0.326 5.565e+02 1.192e-05
    12 1.52e-06 1.3622e-04 1.1087e-04 A  3.978e-02 0.301 5.527e+02 1.547e-05
    13 5.08e-07 1.1087e-04 1.0579e-04 A  5.186e-02 0.288 5.726e+02 8.291e-07
    14 1.69e-07 1.0579e-04 1.1092e-04 .  4.287e-02 0.286 6.011e+02 6.934e-07
    15 1.69e-06 1.0579e-04 1.1005e-04 .  4.123e-02 0.286 6.011e+02 6.934e-07
    16 1.69e-05 1.0579e-04 1.0599e-04 .  3.060e-02 0.286 6.011e+02 6.934e-07
    17 1.69e-04 1.0579e-04 1.0416e-04 A  9.557e-03 0.286 6.011e+02 6.934e-07
    18 5.65e-05 1.0416e-04 1.0301e-04 A  1.038e-02 0.283 5.370e+02 3.290e-07
    19 1.88e-05 1.0301e-04 1.0216e-04 A  1.171e-02 0.282 5.080e+02 4.068e-08
    20 6.27e-06 1.0216e-04 1.0175e-04 A  1.055e-02 0.281 4.874e+02 2.459e-07
    21 2.09e-06 1.0175e-04 1.0165e-04 A  5.737e-03 0.282 4.840e+02 9.762e-08
    22 6.97e-07 1.0165e-04 1.0164e-04 A  2.607e-03 0.283 4.751e+02 3.431e-08
    23 2.32e-07 1.0164e-04 1.0163e-04 A  9.953e-04 0.283 4.796e+02 4.487e-09
    24 7.74e-08 1.0163e-04 1.0164e-04 .  1.361e-03 0.283 4.717e+02 3.131e-09
    25 7.74e-07 1.0163e-04 1.0164e-04 .  1.318e-03 0.283 4.717e+02 3.131e-09
    26 7.74e-06 1.0163e-04 1.0163e-04 A  1.029e-03 0.283 4.717e+02 3.131e-09
    27 2.58e-06 1.0163e-04 1.0163e-04 .  9.367e-04 0.283 4.793e+02 2.647e-09
    28 2.58e-05 1.0163e-04 1.0163e-04 A  6.097e-04 0.283 4.793e+02 2.647e-09
    29 8.60e-06 1.0163e-04 1.0163e-04 A  4.452e-04 0.283 4.737e+02 1.392e-09
    30 2.87e-06 1.0163e-04 1.0163e-04 .  4.843e-04 0.283 4.774e+02 1.048e-09
